"ANO_EJE","NIVEL_GOBIERNO","NIVEL_GOBIERNO_NOMBRE","SECTOR","SECTOR_NOMBRE","PLIEGO","PLIEGO_NOMBRE","SEC_EJEC","EJECUTORA","EJECUTORA_NOMBRE","DEPARTAMENTO_EJECUTORA","DEPARTAMENTO_EJECUTORA_NOMBRE","PROVINCIA_EJECUTORA","PROVINCIA_EJECUTORA_NOMBRE","DISTRITO_EJECUTORA","DISTRITO_EJECUTORA_NOMBRE","SEC_FUNC","PROGRAMA_PPTO","PROGRAMA_PPTO_NOMBRE","TIPO_ACT_PROY","TIPO_ACT_PROY_NOMBRE","PRODUCTO_PROYECTO","PRODUCTO_PROYECTO_NOMBRE","ACTIVIDAD_ACCION_OBRA","ACTIVIDAD_ACCION_OBRA_NOMBRE","FUNCION","FUNCION_NOMBRE","DIVISION_FUNCIONAL","DIVISION_FUNCIONAL_NOMBRE","GRUPO_FUNCIONAL","GRUPO_FUNCIONAL_NOMBRE","META","FINALIDAD","META_NOMBRE","DEPARTAMENTO_META","DEPARTAMENTO_META_NOMBRE","FUENTE_FINANCIAMIENTO","FUENTE_FINANCIAMIENTO_NOMBRE","RUBRO","RUBRO_NOMBRE","TIPO_RECURSO","TIPO_RECURSO_NOMBRE","CATEGORIA_GASTO","CATEGORIA_GASTO_NOMBRE","TIPO_TRANSACCION","GENERICA","GENERICA_NOMBRE","SUBGENERICA","SUBGENERICA_NOMBRE","SUBGENERICA_DET","SUBGENERICA_DET_NOMBRE","ESPECIFICA","ESPECIFICA_NOMBRE","ESPECIFICA_DET","ESPECIFICA_DET_NOMBRE","MONTO_PIA","MODIFICACIONES","MONTO_PIM","MONTO_CERTIFICADO","MONTO_COMPROMETIDO_ANUAL","DEVENGADO_ENERO","DEVENGADO_FEBRERO","DEVENGADO_MARZO","DEVENGADO_ABRIL","DEVENGADO_MAYO","DEVENGADO_JUNIO","DEVENGADO_JULIO","DEVENGADO_AGOSTO","DEVENGADO_SEPTIEMBRE","DEVENGADO_OCTUBRE","DEVENGADO_NOVIEMBRE","DEVENGADO_DICIEMBRE","TOTAL_DEVENGADO"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","NORMAL","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","5","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - SERVICIOS","0","431074","431074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","NORMAL","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","5","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - SERVICIOS","0","0","0","431074","279339.05","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","7","SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","3","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - PERSONAL","0","0","0","0","0","0","0","0","18050.38","28130.27","67538.36","89608.48","70648.50","42919.40","44063.08","29138.96","10630.82","400728.25"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","7","SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","4","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES","0","0","0","0","0","0","0","0","0","0","31896.45","40973","7402.90","55655.30","433.56","0","0","136361.21"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","7","SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","5","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - SERVICIOS","0","0","0","0","0","0","0","0","3821.58","8500","1800","13777.98","7400","12014.79","37783.50","7073.06","184095.95","276266.86"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","0","ENDEUDAMIENTO EXTERNO","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","3","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - PERSONAL","0","113187","113187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","0","ENDEUDAMIENTO EXTERNO","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","3","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - PERSONAL","0","0","0","113187","113187","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","0","ENDEUDAMIENTO EXTERNO","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","4","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES","0","82561","82561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","0","ENDEUDAMIENTO EXTERNO","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","4","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES","0","0","0","82560.71","82560.71","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","0","ENDEUDAMIENTO EXTERNO","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","5","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - SERVICIOS","0","14711","14711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","0","ENDEUDAMIENTO EXTERNO","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","5","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - SERVICIOS","0","0","0","14630.20","14630.20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","20","SUB CUENTA - EMERGENCIA SANITARIA COVID-19 - ROOC","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","3","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - PERSONAL","0","0","0","0","0","0","0","0","0","0","0","0","0","28392.23","0","0","0","28392.23"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","22","SUB CUENTA - INCENTIVOS PRESUPUESTALES PARA INVERSIONES - ROOC","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","3","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - PERSONAL","0","0","0","0","0","0","0","0","0","0","0","0","0","28388.90","22917.87","19917.94","12370.06","83594.77"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","22","SUB CUENTA - INCENTIVOS PRESUPUESTALES PARA INVERSIONES - ROOC","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","4","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES","0","0","0","0","0","0","0","0","0","0","0","0","0","57274.57","0","22108.24","3177.90","82560.71"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","157","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","4000165","MEJORAMIENTO DE INFRAESTRUCTURA CULTURAL","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","3","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","19","RECURSOS POR OPERACIONES OFICIALES DE CREDITO","22","SUB CUENTA - INCENTIVOS PRESUPUESTALES PARA INVERSIONES - ROOC","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","2","CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS","2","EDIFICIOS O UNIDADES NO RESIDENCIALES","4","INSTALACIONES SOCIALES Y CULTURALES","5","COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - SERVICIOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6652.87","6652.87"
"2021","M","GOBIERNOS LOCALES"," "," "," "," ","300331","040101","MUNICIPALIDAD PROVINCIAL DE AREQUIPA","04","AREQUIPA","01","AREQUIPA","01","AREQUIPA","158","0132","PUESTA EN VALOR Y USO SOCIAL DEL PATRIMONIO CULTURAL","2","PROYECTO","2464332","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA","6000002","SUPERVISION Y LIQUIDACION DE OBRAS","21","CULTURA Y DEPORTE","045","CULTURA","0099","PATRIMONIO HISTORICO Y CULTURAL","00001","0310836","CONSTRUCCION DE COBERTURA; EN EL(LA) ZONA DE TUMBAS DEL PARQUE SELVA ALEGRE EN LA LOCALIDAD AREQUIPA, DISTRITO DE AREQUIPA - AREQUIPA - AREQUIPA","04","AREQUIPA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","NORMAL","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","8","OTROS GASTOS DE ACTIVOS NO FINANCIEROS","1","OTROS GASTOS DE ACTIVOS NO FINANCIEROS","4","OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS","3","GASTO POR LA CONTRATACION DE SERVICIOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
